step,loss,loss_std,loss_ema,grad_norm,lr,step_per_sec,elapsed_sec
35600,0.002967,0.000922,0.002952,0.061958,0.00020000,4.7795,7448.41
35700,0.002916,0.000800,0.002945,0.054806,0.00020000,4.7788,7470.46
35800,0.002826,0.000798,0.002859,0.062609,0.00020000,4.7780,7492.72
35900,0.002891,0.000879,0.002901,0.057689,0.00020000,4.7772,7514.80
36000,0.002873,0.000818,0.002871,0.066209,0.00020000,4.7765,7536.95
36100,0.002833,0.000722,0.002847,0.059093,0.00020000,4.7758,7558.97
36200,0.002779,0.000646,0.002804,0.065069,0.00020000,4.7752,7580.89
36300,0.002986,0.000890,0.002927,0.065796,0.00020000,4.7746,7602.79
36400,0.002995,0.000829,0.002962,0.067045,0.00020000,4.7740,7624.57
36500,0.002892,0.000692,0.002925,0.060210,0.00020000,4.7733,7646.62
36600,0.002986,0.000943,0.002998,0.060137,0.00020000,4.7726,7668.84
36700,0.002962,0.000868,0.002953,0.062942,0.00020000,4.7719,7690.83
36800,0.002722,0.000705,0.002773,0.052936,0.00020000,4.7713,7712.83
36900,0.002699,0.000724,0.002734,0.056347,0.00020000,4.7706,7734.82
37000,0.002981,0.000915,0.002895,0.059649,0.00020000,4.7701,7756.70
37100,0.002872,0.000722,0.002867,0.070840,0.00020000,4.7696,7778.39
37200,0.002755,0.000725,0.002803,0.053379,0.00020000,4.7690,7800.36
37300,0.002738,0.000715,0.002758,0.059993,0.00020000,4.7686,7822.00
37400,0.003006,0.000815,0.002906,0.062084,0.00020000,4.7682,7843.71
37500,0.002774,0.000757,0.002825,0.063350,0.00020000,4.7675,7865.76
37600,0.002784,0.000661,0.002819,0.051747,0.00020000,4.7670,7887.56
37700,0.002938,0.000748,0.002907,0.067385,0.00020000,4.7665,7909.39
37800,0.002986,0.000895,0.002956,0.073595,0.00020000,4.7658,7931.59
37900,0.002934,0.000792,0.002914,0.066248,0.00020000,4.7652,7953.55
38000,0.002913,0.000888,0.002948,0.060860,0.00020000,4.7643,7975.97
38100,0.002912,0.000839,0.002924,0.062625,0.00020000,4.7636,7998.18
38200,0.002554,0.000607,0.002686,0.053415,0.00020000,4.7631,8020.06
38300,0.002772,0.000792,0.002740,0.059589,0.00020000,4.7622,8042.47
38400,0.002924,0.000798,0.002857,0.052427,0.00020000,4.7615,8064.70
38500,0.002862,0.000735,0.002880,0.067226,0.00020000,4.7607,8086.97
38600,0.002873,0.000708,0.002861,0.062096,0.00020000,4.7603,8108.70
38700,0.002907,0.000869,0.002905,0.062396,0.00020000,4.7597,8130.69
38800,0.002977,0.000838,0.002944,0.072418,0.00020000,4.7592,8152.66
38900,0.002920,0.000878,0.002893,0.076706,0.00020000,4.7587,8174.50
39000,0.002834,0.000764,0.002863,0.066970,0.00020000,4.7581,8196.52
39100,0.002834,0.000760,0.002857,0.056298,0.00020000,4.7577,8218.29
39200,0.002761,0.000734,0.002784,0.050714,0.00020000,4.7574,8239.84
39300,0.002807,0.000829,0.002822,0.069065,0.00020000,4.7570,8261.60
39400,0.002822,0.000854,0.002810,0.055628,0.00020000,4.7563,8283.83
39500,0.002805,0.000699,0.002821,0.053294,0.00020000,4.7558,8305.73
39600,0.002648,0.000771,0.002732,0.054485,0.00020000,4.7552,8327.67
39700,0.002927,0.000752,0.002855,0.065955,0.00020000,4.7547,8349.71
39800,0.002919,0.000845,0.002896,0.050816,0.00020000,4.7542,8371.55
39900,0.002786,0.000807,0.002823,0.048969,0.00020000,4.7537,8393.43
40000,0.002734,0.000707,0.002767,0.055979,0.00020000,4.7533,8415.18
