step,loss,loss_std,loss_ema,grad_norm,lr,step_per_sec,elapsed_sec
8200,0.005041,0.001289,0.005113,0.125507,0.00020000,4.7745,1717.46
8300,0.005403,0.001583,0.005311,0.119301,0.00020000,4.7773,1737.40
8400,0.004811,0.001400,0.004921,0.120605,0.00020000,4.7800,1757.33
8500,0.005252,0.001476,0.005180,0.116811,0.00020000,4.7826,1777.29
8600,0.005106,0.001528,0.005187,0.125534,0.00020000,4.7852,1797.21
8700,0.004999,0.001300,0.005019,0.095895,0.00020000,4.7877,1817.16
8800,0.005316,0.001293,0.005232,0.144061,0.00020000,4.7902,1837.09
8900,0.004983,0.001347,0.005088,0.126712,0.00020000,4.7924,1857.09
9000,0.005086,0.001632,0.005174,0.103337,0.00020000,4.7948,1877.04
9100,0.005120,0.001408,0.005100,0.110490,0.00020000,4.7971,1896.99
9200,0.004711,0.001162,0.004860,0.099416,0.00020000,4.7993,1916.94
9300,0.005103,0.001416,0.004983,0.122724,0.00020000,4.8015,1936.88
9400,0.004567,0.001190,0.004676,0.097625,0.00020000,4.8037,1956.81
9500,0.004961,0.001644,0.004934,0.128960,0.00020000,4.8058,1976.78
9600,0.004922,0.001252,0.004933,0.102344,0.00020000,4.8078,1996.75
9700,0.004789,0.001196,0.004838,0.094141,0.00020000,4.8098,2016.70
9800,0.004976,0.001469,0.004912,0.126421,0.00020000,4.8119,2036.60
9900,0.004574,0.001162,0.004708,0.098740,0.00020000,4.8138,2056.58
10000,0.004500,0.001145,0.004575,0.096552,0.00020000,4.8157,2076.55
10100,0.004556,0.001181,0.004554,0.121272,0.00020000,4.8173,2096.60
10200,0.004656,0.001406,0.004652,0.101213,0.00020000,4.8191,2116.58
10300,0.004629,0.001312,0.004654,0.101749,0.00020000,4.8209,2136.52
10400,0.005079,0.001770,0.004905,0.132180,0.00020000,4.8226,2156.52
10500,0.004927,0.001229,0.004910,0.098512,0.00020000,4.8243,2176.48
10600,0.004539,0.001255,0.004651,0.095234,0.00020000,4.8260,2196.42
10700,0.004837,0.001401,0.004749,0.102075,0.00020000,4.8277,2216.38
10800,0.004848,0.001428,0.004890,0.104089,0.00020000,4.8293,2236.34
10900,0.004678,0.001157,0.004784,0.100529,0.00020000,4.8309,2256.30
11000,0.004541,0.001206,0.004593,0.099437,0.00020000,4.8325,2276.24
11100,0.004629,0.001290,0.004603,0.095675,0.00020000,4.8341,2296.17
11200,0.004742,0.001197,0.004713,0.114483,0.00020000,4.8357,2316.10
11300,0.004564,0.001380,0.004649,0.099648,0.00020000,4.8372,2336.07
11400,0.004614,0.001309,0.004605,0.106878,0.00020000,4.8387,2356.02
11500,0.004299,0.001288,0.004455,0.084411,0.00020000,4.8402,2375.94
11600,0.004529,0.001347,0.004496,0.101295,0.00020000,4.8415,2395.97
11700,0.004402,0.001165,0.004472,0.087671,0.00020000,4.8429,2415.92
11800,0.004551,0.001344,0.004549,0.087670,0.00020000,4.8443,2435.87
11900,0.004247,0.001230,0.004327,0.105032,0.00020000,4.8456,2455.82
12000,0.004717,0.001330,0.004570,0.098425,0.00020000,4.8470,2475.78
12100,0.004317,0.001058,0.004406,0.092815,0.00020000,4.8482,2495.76
12200,0.004618,0.001298,0.004519,0.104442,0.00020000,4.8495,2515.72
12300,0.004392,0.001135,0.004433,0.110440,0.00020000,4.8508,2535.67
12400,0.004039,0.001001,0.004217,0.095592,0.00020000,4.8520,2555.64
12500,0.004373,0.001419,0.004308,0.103545,0.00020000,4.8533,2575.56
12600,0.004128,0.000975,0.004182,0.108539,0.00020000,4.8546,2595.50
12700,0.004476,0.001134,0.004331,0.096206,0.00020000,4.8558,2615.41
12800,0.004212,0.001148,0.004246,0.107499,0.00020000,4.8570,2635.40
12900,0.004701,0.001341,0.004528,0.111303,0.00020000,4.8581,2655.34
13000,0.004663,0.001228,0.004611,0.102996,0.00020000,4.8593,2675.27
13100,0.004232,0.001173,0.004397,0.091671,0.00020000,4.8605,2695.21
13200,0.004439,0.001223,0.004439,0.096801,0.00020000,4.8615,2715.21
13300,0.004236,0.001042,0.004304,0.106293,0.00020000,4.8626,2735.16
13400,0.004125,0.001152,0.004134,0.089501,0.00020000,4.8637,2755.13
13500,0.004210,0.001138,0.004155,0.098837,0.00020000,4.8647,2775.09
13600,0.004071,0.001017,0.004105,0.084515,0.00020000,4.8658,2795.03
13700,0.003996,0.001054,0.004055,0.102688,0.00020000,4.8668,2815.00
13800,0.004417,0.001391,0.004321,0.100951,0.00020000,4.8678,2834.94
