t,loss_cond,loss_uncond,guidance_norm,snr,loss_guided_w1,loss_guided_w3,loss_guided_w5
0,0.11557525023818016,0.13996272534132004,7.8217374086380005,9997.340882002383,0.1321890838444233,0.2884206622838974,0.6086574792861938
42,0.006765503319911659,0.010558156063780189,3.082035005092621,44.355104512473375,0.00937528908252716,0.03380217216908932,0.0838388092815876
83,0.0038216435932554305,0.006151797017082572,2.4293869733810425,12.345606753138489,0.005497693084180355,0.02086840057745576,0.052263918332755566
125,0.002873870311304927,0.004738503019325435,2.1939574480056763,5.409768304587107,0.0043217281345278025,0.017154915258288383,0.04323806334286928
166,0.0024745884584262967,0.0040845576440915465,1.9967750906944275,2.935681512528358,0.003666349919512868,0.014455066062510014,0.036450705491006374
208,0.0021924981265328825,0.003606885962653905,1.8744762241840363,1.7378490643259776,0.003254959941841662,0.012810432352125645,0.032273303251713514
250,0.0018798033415805548,0.0031369380885735154,1.7425739765167236,1.0895280955523652,0.0027957019046880305,0.011146598728373647,0.028189627919346094
291,0.0016973948513623327,0.0030090739019215107,1.7741355895996094,0.7121128100147666,0.0026790080592036247,0.011522111250087619,0.029538384173065424
333,0.0014957906096242368,0.002641647181008011,1.7074927687644958,0.4676201774050636,0.0024956485140137374,0.010932508623227477,0.027952227275818586
375,0.0014775180025026202,0.002553270081989467,1.6735669672489166,0.3082186450687958,0.0024551685201004148,0.010570677928626537,0.02689979923889041
416,0.0014652684913016856,0.0025565368705429137,1.6858329772949219,0.20420554957769102,0.0024589988170191646,0.010701455874368548,0.027283909264951944
458,0.0013174254272598773,0.0022554772440344095,1.551075667142868,0.132392145584324,0.0021547068026848137,0.00915526901371777,0.023257163353264332
500,0.0011650760425254703,0.0019487162353470922,1.4430395066738129,0.08435955176041061,0.0019295994425192475,0.008103136904537678,0.020469327457249165
541,0.0009757495281519368,0.0016940886853262782,1.3580867648124695,0.05319977327807956,0.0016455483855679631,0.0071495602605864406,0.01820612559095025
583,0.0008337842737091705,0.0013282594445627183,1.1655633747577667,0.032347703792016826,0.0013378217117860913,0.005341434269212186,0.013339096680283546
624,0.0006042351160431281,0.0009688764839665964,0.9984514266252518,0.019364609911223095,0.0009618883923394606,0.0038440789794549346,0.00961544830352068
666,0.0004554569677566178,0.0006926859932718799,0.8319496512413025,0.011106223163288537,0.0007247573521453887,0.0027829462778754532,0.006867252755910158
708,0.00028762652073055506,0.00043498642480699345,0.6728851646184921,0.00616683811973846,0.00047228454059222713,0.0018376545631326735,0.004531096434220672
749,0.0001802348815544974,0.00025956370518542826,0.5233847349882126,0.0033618149397482986,0.00029785672813886777,0.0011239524756092578,0.002737850823905319
791,0.00010926380309683736,0.00015085165432537906,0.38514723628759384,0.001745384477456852,0.00017326675151707605,0.0006180449854582548,0.0014851863088551909
832,6.879841748741455e-05,8.86314064700855e-05,0.2930576130747795,0.0008899016579808218,0.00010979378566844389,0.00037426962808240205,0.0008820589282549918
874,4.6698381993337534e-05,5.655775203194935e-05,0.21372519060969353,0.0004310262659293511,6.8730932980543e-05,0.0002084718071273528,0.000475780398119241
916,3.5775144169747364e-05,4.0277223888551816e-05,0.15817341208457947,0.00020148017290006777,4.844751219934551e-05,0.00012531559877970722,0.0002708814645302482
957,3.0499195872835116e-05,3.2344759347324725e-05,0.13139934837818146,9.265726734036183e-05,4.030130185128655e-05,9.484852853347547e-05,0.0001959864457603544
999,3.384768388059456e-05,3.293311419838574e-05,0.13063495233654976,4.035993601889909e-05,4.618354159902083e-05,0.00010511913751543034,0.00020973992650397122
