weight,eye_color,hair_color,face_color,mean
0.0,0.6171875,0.9453125,0.78515625,0.7825520833333334
1.0,0.703125,0.984375,0.7578125,0.8151041666666666
3.0,0.76171875,0.99609375,0.77734375,0.8450520833333334
5.0,0.8046875,1.0,0.71875,0.8411458333333334
8.0,0.77734375,1.0,0.703125,0.8268229166666666
10.0,0.75,0.99609375,0.72265625,0.8229166666666666
15.0,0.69921875,1.0,0.640625,0.7799479166666666
